"Movie Name","User Rating","Genres","Trailer URL","Top Casts","Runtime","Certification","Release Date","Overview","Movie URL"
"Uncharted","NR","['Action', 'Adventure']","https://www.youtube.com/watch?v=eHp3MbsCbMg","['Tom Holland', 'Mark Wahlberg', 'Antonio Banderas', 'Sophia Ali', 'Tati Gabrielle', 'Steven Waddington', 'Pingi Moli', 'Tiernan Jones', 'Rudy Pankow']","1h 56m","PG-13","02/18/2022 (US)","A young street-smart, Nathan Drake and his wisecracking partner Victor “Sully” Sullivan embark on a dangerous pursuit of “the greatest treasure never found” while also tracking clues that may lead to Nathan’s long-lost brother.","https://www.themoviedb.org/movie/335787"
"The Batman",0,"['Action', 'Crime', 'Drama']","https://www.youtube.com/watch?v=u34gHaRiBIU","['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano', 'Jeffrey Wright', 'John Turturro', 'Peter Sarsgaard', 'Andy Serkis', 'Colin Farrell', 'Barry Keoghan']","2h 56m","PG-13","03/04/2022 (US)","In his second year of fighting crime, Batman uncovers corruption in Gotham City that connects to his own family while facing a serial killer known as the Riddler.","https://www.themoviedb.org/movie/414906"
"The Godfather","NR","['Drama', 'Crime']","https://www.youtube.com/watch?v=1x0GpEZnwa8","['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden']","2h 55m","R","03/15/1972 (US)","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","https://www.themoviedb.org/movie/238"
"Dog","NR","['Drama', 'Family', 'Comedy']","https://www.youtube.com/watch?v=V4tAtp-TyzQ","['Channing Tatum', 'Jane Adams', 'Kevin Nash', \"Q'orianka Kilcher\", 'Amanda Booth', 'Aqueela Zoll', 'Ronnie Gene Blevins', 'Cayden Boyd', 'Nicole LaLiberte']","1h 41m","PG-13","02/18/2022 (US)","An army ranger and his dog embark on a road trip along the Pacific Coast Highway to attend a friend's funeral.","https://www.themoviedb.org/movie/626735"
"Jews of the Wild West","NR","['Documentary', 'Western']","https://www.youtube.com/watch?v=EX00KWGgn2w","[]","1h 23m","N/A","02/16/2022 (US)","“Jews of the Wild West” is a feature-length documentary completed in December 2021. The independent not-for-profit project is produced by Electric Yolk Media and directed by award-winning filmmaker Amanda Kinsey. Through on-camera interviews, compelling footage, and historical photographs, the film tells the positive immigration story and highlights the dynamic contributions Jewish Americans made to shaping the Western United States.","https://www.themoviedb.org/movie/928213"
"Studio 666",0,"['Horror', 'Comedy', 'Music']","https://www.youtube.com/watch?v=UEDkqOBhPis","['Dave Grohl', 'Taylor Hawkins', 'Nate Mendel', 'Pat Smear', 'Chris Shiflett', 'Rami Jaffee', 'Whitney Cummings', 'Leslie Grossman', 'Will Forte']","1h 48m","R","02/25/2022 (US)","Legendary rock band Foo Fighters move into an Encino mansion steeped in grisly rock and roll history to record their much anticipated 10th album. Once in the house, Dave Grohl finds himself grappling with supernatural forces that threaten both the completion of the album and the lives of the band.","https://www.themoviedb.org/movie/895744"
"AV-1","NR","['Crime', 'Drama']","N/A","['Brent McNeel', 'Tyler Beckwith', 'Matthias Balliet', 'Jeremy Byers']","4m","N/A","02/16/2022 (US)","Miles Flynn is writing a story about the death of Thomas Mosley, a journalist who was killed while investigating a series of muggings at a local train station in 1979. Miles soon realizes that the two writers have much more in common than he initially thought.","https://www.themoviedb.org/movie/912268"
"Incarnation","NR","['Horror']","https://www.youtube.com/watch?v=rNmP2JFevH4","['Taye Diggs', 'Jessica Uberuaga', 'Michael Madsen', 'Rich Paul']","2h 8m","NR","02/18/2022 (US)","Brad and Jess move to Los Angeles in search of a better life. When they stumble upon a hidden real estate gem, managed by the laid-back landlord Peter, they are elated by their turn of fortune. But their ideal home is hiding a secret far more sinister than they could have ever imagined, for the very walls are alive with an ancient evil, and they soon learn that greed comes with a hefty price.","https://www.themoviedb.org/movie/926255"
"4 O'CLOCK","NR","['Comedy', 'Thriller']","N/A","['Mott McCampbell', 'Suzan Al-Doghachi', 'Alejandro Serrano', 'Robert Pleasants', 'Takamichi Saeki', 'Kimberlee Gayheart', 'Cynthia Marshall', 'Ken Hiratsuka', 'Moira Gentry']","1h 26m","NR","02/17/2022 (US)","Special agent Mott McCampbell has a mission, escorting a Japanese dignitary from JFK airport to the United Nations. A gang of discontented stewardesses has a different plan, kidnapping. While Mott is lured away from his duties, his partner Alex is killed. Mott must find out who is behind the kidnapping and murder. Falling for the loveliest of the stewardess gang, Simone, he enters a labyrinth of absurd and comic situations. After an adventure on the dark streets of New York City, Mott finally confronts the gang on the runway.","https://www.themoviedb.org/movie/899609"
"Life After You","NR","['Drama']","N/A","['Florencia Lozano', 'Gary Perez', 'Domenica Feraud', 'Erick Betancourt', 'Jake Ryan Lozano', 'Kathryn Erbe', 'Craig muMs Grant', \"Kelley Rae O'Donnell\"]","1h 30m","N/A","03/01/2022 (US)","A suburban family struggles with the death of their 19 year-old son, following an overdose of heroin that was laced with fentanyl. The film explores the question of who and what is responsible for this tragedy.","https://www.themoviedb.org/movie/881876"
