"Movie Name","User Rating","Genres","Trailer URL","Top Casts","Runtime","Certification","Release Date","Overview","Movie URL"
"The 355","NR","['Action', 'Thriller']","https://www.youtube.com/watch?v=xugboHXcG94","['Jessica Chastain', \"Lupita Nyong'o\", 'Penélope Cruz', 'Diane Kruger', 'Fan Bingbing', 'Sebastian Stan', 'Edgar Ramírez', 'Jason Flemyng', 'Sylvester Groth']","2h 2m","PG-13","01/07/2022 (US)","A group of top female agents from American, British, Chinese, Columbian and German  government agencies are drawn together to try and stop an organization from acquiring a deadly weapon to send the world into chaos.","https://www.themoviedb.org/movie/522016"
"Marry Me","NR","['Comedy', 'Romance', 'Music']","https://www.youtube.com/watch?v=Ebv9_rNb5Ig","['Jennifer Lopez', 'Owen Wilson', 'Maluma', 'John Bradley', 'Sarah Silverman', 'Chloe Coleman', 'Michelle Buteau', 'Utkarsh Ambudkar', 'Jameela Jamil']","1h 52m","PG-13","02/11/2022 (US)","Explores the possibilities of what might happen when a superstar marries an average Joe as a joke and discovers that perhaps there are no accidents.","https://www.themoviedb.org/movie/615904"
"Nightmare Alley","NR","['Crime', 'Drama', 'Thriller']","https://www.youtube.com/watch?v=Q81Yf46Oj3s","['Bradley Cooper', 'Cate Blanchett', 'Toni Collette', 'Willem Dafoe', 'Richard Jenkins', 'Rooney Mara', 'Ron Perlman', 'Mary Steenburgen', 'David Strathairn']","2h 30m","R","12/17/2021 (US)","An ambitious carnival man with a talent for manipulating people with a few well-chosen words hooks up with a female psychiatrist who is even more dangerous than he is.","https://www.themoviedb.org/movie/597208"
"Moonfall","NR","['Action', 'Adventure', 'Science Fiction']","https://www.youtube.com/watch?v=xx97DuHGr2o","['Halle Berry', 'Patrick Wilson', 'John Bradley', 'Charlie Plummer', 'Yu Wenwen', 'Michael Peña', 'Kelly Reilly', 'Donald Sutherland', 'Eme Ikwuakor']","2h 10m","PG-13","02/04/2022 (US)","A mysterious force knocks the moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it.","https://www.themoviedb.org/movie/406759"
"Scream","NR","['Horror', 'Mystery', 'Thriller']","https://www.youtube.com/watch?v=nRwLyKIBNU8","['Neve Campbell', 'Courteney Cox', 'David Arquette', 'Melissa Barrera', 'Jenna Ortega', 'Jack Quaid', 'Mikey Madison', 'Jasmin Savoy Brown', 'Dylan Minnette']","1h 54m","R","01/14/2022 (US)","Twenty-five years after a streak of brutal murders shocked the quiet town of Woodsboro, a new killer has donned the Ghostface mask and begins targeting a group of teenagers to resurrect secrets from the town’s deadly past.","https://www.themoviedb.org/movie/646385"
"Death on the Nile","NR","['Mystery', 'Crime', 'Drama']","https://www.youtube.com/watch?v=JM1U-Whb-P0","['Kenneth Branagh', 'Gal Gadot', 'Armie Hammer', 'Russell Brand', 'Tom Bateman', 'Annette Bening', 'Ali Fazal', 'Dawn French', 'Rose Leslie']","2h 7m","PG-13","02/11/2022 (US)","Belgian sleuth Hercule Poirot boards a glamorous river steamer with enough champagne to fill the Nile. But his Egyptian vacation turns into a thrilling search for a murderer when a picture-perfect couple’s idyllic honeymoon is tragically cut short.","https://www.themoviedb.org/movie/505026"
"Jackass Forever","NR","['Action', 'Comedy', 'Documentary']","https://www.youtube.com/watch?v=p74bzf-beGc","['Johnny Knoxville', 'Steve-O', 'Chris Pontius', 'Dave England', 'Jason Acuña', 'Ehren McGhehey', 'Preston Lacy', 'Zach Holmes', 'Sean McInerney']","1h 36m","R","02/04/2022 (US)","Celebrate the joy of a perfectly executed shot to the groin as Johnny Knoxville, Steve-O and the rest of the gang return alongside some newcomers for one final round of hilarious, wildly absurd and often dangerous displays of stunts and comedy.","https://www.themoviedb.org/movie/656663"
"The King's Daughter","NR","['Fantasy', 'Drama', 'Romance', 'History']","https://www.youtube.com/watch?v=NjGSWdmVVHM","['Pierce Brosnan', 'Kaya Scodelario', 'Benjamin Walker', 'William Hurt', 'Julie Andrews', 'Fan Bingbing', 'Pablo Schreiber', 'Ben Lloyd-Hughes', 'Rachel Griffiths']","1h 34m","PG","01/21/2022 (US)","King Louis XIV's quest for immortality leads him to capture and steal a mermaid's life force, a move that is further complicated by his illegitimate daughter's discovery of the creature.","https://www.themoviedb.org/movie/245842"
"Redeeming Love","NR","['Drama', 'History', 'Romance']","https://www.youtube.com/watch?v=NJSjS36Pgx8","['Logan Marshall-Green', 'Abigail Cowen', 'Nina Dobrev', 'Famke Janssen', 'Tom Lewis', 'Eric Dane', 'Wu Ke-Xi', 'Livi Birch', 'Brandon Auret']","2h 14m","PG-13","01/21/2022 (US)","A retelling of the biblical book of Hosea set against the backdrop of the California Gold Rush of 1850.","https://www.themoviedb.org/movie/698508"
"Blacklight","NR","['Action', 'Thriller']","https://www.youtube.com/watch?v=k_N9pU4FMOs","['Liam Neeson', 'Emmy Raver-Lampman', 'Taylor John Smith', 'Aidan Quinn', 'Tim Draxl', 'Claire van der Boom', 'Michael M. Foster', 'Yesse Spence', 'Todd Levi']","1h 44m","PG-13","02/11/2022 (US)","Travis Block, a shadowy Government agent who specializes in removing operatives whose covers have been exposed, uncovers a deadly conspiracy within his own ranks that reaches the highest echelons of power.","https://www.themoviedb.org/movie/823625"
"Belle","NR","['Animation', 'Drama', 'Science Fiction', 'Music']","https://www.youtube.com/watch?v=7iiDjDmywIM","['Kaho Nakamura', 'Takeru Satoh', 'Tina Tamashiro', 'Shota Sometani', 'Lilas Ikuta', 'Ryo Narita', 'Toshiyuki Morikawa', 'Kenjiro Tsuda', 'Mami Koyama']","2h 1m","10+","01/14/2022 (US)","Suzu is a 17-year-old high school student living in a rural town with her father. Wounded by the loss of her mother at a young age, Suzu one day discovers the massive online world \"U\" and dives into this alternate reality as her avatar, Belle. Before long, all of U's eyes are fixed on Belle, when, suddenly, a mysterious dragon-like figure appears before her.","https://www.themoviedb.org/movie/776305"
"Heatwave","NR","[]","N/A","['Kat Graham', 'Merritt Patterson', 'Sebastian Roché', 'Cardi Wong', 'Roger Cross']","1h 40m","N/A","01/17/2022 (US)","A woman's life takes an unexpected turn when she falls for her boss's wife. She must soon defend herself as she becomes entangled in a web of malice.","https://www.themoviedb.org/movie/928270"
"Supercool","NR","['Comedy', 'Action']","https://www.youtube.com/watch?v=XViu4tzzQ-s","['Jake Short', 'Miles J. Harvey', 'Damon Wayans Jr.', 'Madison Davenport', 'Iliza Shlesinger', 'Peter Moses', \"Odessa A'zion\", 'Jonathan Kite', 'Kira Kosarin']","1h 31m","NR","02/11/2022 (US)","Best friends, Neil and Gilbert start their senior year of high school with high hopes and aspirations. Neil has always fantasized about being cool enough to date his long time crush and Gilbert has always dreamed of being a social media super star. After what is, by all accounts, a very disappointing and embarrassing first day in school, Neil makes a magical wish to be cool just at the magical moment when the clock strikes 11:11. The next morning, Neil wakes up to a reality that is straight from the comics of his dreams.","https://www.themoviedb.org/movie/514466"
"What About Love","NR","['Romance', 'Drama']","N/A","['Miguel Ángel Muñoz', 'Marielle Jaffe', 'Sharon Stone', 'Andy García', 'Jose Coronado', 'Iain Glen', 'Rosabell Laurenti Sellers', 'Caroline Morahan', 'Maia Morgenstern']","1h 54m","N/A","02/11/2022 (US)","Two young lovers change the lives of their parents forever when the parents learn from the joyful experience of their kids, and allow themselves to again find their love.","https://www.themoviedb.org/movie/476928"
"Dracula: The Original Living Vampire","NR","['Horror', 'Thriller']","https://www.youtube.com/watch?v=4166M7xMEuc","['Michael Ironside', 'Jake Herbert', 'Christine Prouty', 'India Davies', 'Ryan Woodcock']","N/A","NR","01/28/2022 (US)","Detective Amelia Van Helsing is on the desperate hunt for the killer responsible for a string of grisly murders targeting young women. Matters only worsen when all evidence leads to the seemingly untouchable Count Dracula. And when Van Helsing’s girlfriend vanishes, she is forced to question the very existence of monsters in a final showdown with the enigmatic count.","https://www.themoviedb.org/movie/928015"
"Moon Crash","NR","['Science Fiction']","https://www.youtube.com/watch?v=l24COWkEHgI","['Jeremy London', 'Tyler Christopher', 'Pauline Egan', 'Jamison Jones']","N/A","N/A","02/04/2022 (US)","Mockbuster from The Asylum along lines of Moonfall. A global steelworks company partners with an aerospace firm to mine the Moon. But when a drilling accident causes a giant piece of the Moon to crack off and hurtle towards Earth, the surviving space team and the head of the firm must figure out how to destroy the meteoroid before it wipes out the entire planet","https://www.themoviedb.org/movie/931140"
"Hacker: Trust No One","NR","['Thriller']","https://www.youtube.com/watch?v=OlXLRGvtdTU","['Simon Berry', 'Annabella Rich']","1h 24m","N/A","02/08/2022 (US)","Danny was set to be rich with his new crypto currency until he was caught hacking finding himself and his girlfriend on a hit list.","https://www.themoviedb.org/movie/915617"
"I'm Alien Green Alien: I will dance for you","NR","['Science Fiction', 'Animation', 'Adventure', 'Action', 'Comedy']","https://www.youtube.com/watch?v=Og9lFa5hwU0","['Yunus Dogre', 'Ersin Urta', 'Robert Ferecer', 'James Heser']","1h 20m","N/A","02/11/2022 (US)","A lonely cute alien traveling through space is forced to land on Earth when the spacecraft malfunctions and by chance. The very friendly and dancing-loving alien takes up her sleeves to explore the planet, find friends and her funny and fun adventure begins.","https://www.themoviedb.org/movie/831767"
"Theaters of War","NR","[]","N/A","[]","1h 25m","N/A","02/14/2022 (US)","If you’ve seen Top Gun or Transformers, you may have wondered: Does all of that military machinery on screen come with strings attached? Does the military actually get a crack at the script? With the release of a vast new trove of internal government documents, the answers have come into sharp focus: the US military has exercised editorial control over thousands of films and television programs. As these activities gain new public scrutiny, new questions arise: How have they managed to fly under the radar for so long? And where do we go from here?","https://www.themoviedb.org/movie/926908"
"Lover's Lane","NR","['Horror', 'Thriller']","N/A","['Jace Robinson', 'Gabriel Santana', 'Justin Corcoran', 'Patrick Pinteralli', 'Haylee Culver', 'Aryn Teague', 'Kris Cominos', 'An Nguyen', 'Enrique Santana']","N/A","R","02/14/2022 (US)","A group of friends are hunted by a killer that was once humiliated by a friend of theirs.","https://www.themoviedb.org/movie/928443"
